season,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,games_played_post_asg,games_played_pre_asg,win_pct_post_asg,win_pct_pre_asg,wins_post_asg,wins_pre_asg,projected_wins_before_asg,actual_wins,projection_difference,post_asg_win_pct_drop,season_length,avg_starter_minutes_per_game_post_asg,avg_starter_minutes_per_game_pre_asg,avg_starter_minutes_per_player_post_asg,avg_starter_minutes_per_player_pre_asg,total_starter_minutes_post_asg,total_starter_minutes_pre_asg,starter_minutes_change_per_game,avg_players_used_post_asg,avg_players_used_pre_asg,avg_unique_lineups_post_asg,avg_unique_lineups_pre_asg,max_lineups_in_game_post_asg,max_lineups_in_game_pre_asg,players_used_change,lineups_used_change,win_projection_drop,starter_minutes_drop,players_used_increase,lineup_experimentation_increase,raw_tanking_score,lottery_candidate,tanking_score,score_note
2022-23,1610612737,ATL,Atlanta Hawks,23,59,0.52173913,0.491525424,12,29,40.305084768,41,0.6949152319999996,0.030213706000000062,82,156.976087,165.9138418,31.39521739,33.18276836,3610.45,9788.916667,-8.937754851,10.69565217,10.5,13.04347826,13.25,19,22,0.195652174,-0.206521739,-0.6949152319999996,8.937754851,0.195652174,-0.206521739,8.231970054,True,8.231970054,Included in tanking score
2021-22,1610612766,CHA,Charlotte Hornets,22,60,0.636363636,0.483333333,14,29,39.633333306,43,3.3666666940000027,0.15303030300000003,82,157.7083333,168.4702778,31.54166667,33.69405556,3469.583333,10108.21667,-10.76194444,11.0,9.916666667,15.76190476,16.16666667,21,21,1.083333333,-0.404761905,-3.3666666940000027,10.76194444,1.083333333,-0.404761905,8.073849174,True,8.073849174,Included in tanking score
2020-21,1610612765,DET,Detroit Pistons,36,36,0.277777778,0.277777778,10,10,20.000000015999998,20,-1.5999997771132257e-08,0.0,72,147.6726852,155.575,29.53453704,31.115,5316.216667,5600.7,-7.902314815,10.7,10.64,13.0,13.72,19,19,0.06,-0.72,1.5999997771132257e-08,7.902314815,0.06,-0.72,7.242314830999998,True,7.242314830999998,Included in tanking score
2020-21,1610612753,ORL,Orlando Magic,36,36,0.222222222,0.361111111,8,13,25.999999992,21,-4.999999991999999,-0.138888889,72,152.1810185,154.0930556,30.4362037,30.81861111,5478.516667,5547.35,-1.912037037,10.13793103,10.09090909,12.55172414,12.54545455,21,16,0.047021944,0.006269592,4.999999991999999,1.912037037,0.047021944,0.006269592,6.965328564999999,True,6.965328564999999,Included in tanking score
2024-25,1610612759,SAS,San Antonio Spurs,30,52,0.366666667,0.442307692,11,23,36.269230744,34,-2.269230743999998,-0.07564102499999997,82,148.9911111,154.161859,29.79822222,30.83237179,4469.733333,8016.416667,-5.170747863,11.1,11.35294118,15.6,15.98039216,24,22,-0.252941176,-0.380392157,2.269230743999998,5.170747863,-0.252941176,-0.380392157,6.806645273999997,True,6.806645273999997,Included in tanking score
2024-25,1610612762,UTA,Utah Jazz,28,54,0.142857143,0.240740741,4,13,19.740740762,17,-2.7407407620000015,-0.09788359800000002,82,150.7196429,154.1373457,30.14392857,30.82746914,4220.15,8323.416667,-3.417702822,9.821428571,10.32075472,15.07142857,14.28301887,22,22,-0.499326146,0.788409704,2.7407407620000015,3.417702822,-0.499326146,0.788409704,6.447527142000001,True,6.447527142000001,Included in tanking score
2023-24,1610612737,ATL,Atlanta Hawks,27,55,0.444444444,0.436363636,12,24,35.781818152,36,0.2181818480000004,0.008080807999999995,82,164.0740741,168.9484848,32.81481481,33.78969697,4430.0,9292.166667,-4.874410774,9.851851852,9.690909091,13.33333333,11.78181818,18,18,0.160942761,1.551515152,-0.2181818480000004,4.874410774,0.160942761,1.551515152,6.368686839,True,6.368686839,Included in tanking score
2021-22,1610612764,WAS,Washington Wizards,24,58,0.333333333,0.465517241,8,27,38.172413762000005,35,-3.172413762000005,-0.13218390800000002,82,151.8055556,154.9152299,30.36111111,30.98304598,3643.333333,8985.083333,-3.10967433,10.52380952,10.40909091,14.9047619,14.95454545,22,20,0.114718615,-0.04978355,3.172413762000005,3.10967433,0.114718615,-0.04978355,6.347023157000005,True,6.347023157000005,Included in tanking score
2021-22,1610612747,LAL,Los Angeles Lakers,24,58,0.25,0.465517241,6,27,38.172413762000005,33,-5.172413762000005,-0.21551724100000003,82,159.0381944,161.9913793,31.80763889,32.39827586,3816.916667,9395.5,-2.953184866,10.0,10.09090909,16.0,17.72727273,24,22,-0.090909091,-1.727272727,5.172413762000005,2.953184866,-0.090909091,-1.727272727,6.307416810000006,True,6.307416810000006,Included in tanking score
2023-24,1610612761,TOR,Toronto Raptors,27,55,0.222222222,0.345454545,6,19,28.32727269,25,-3.327272690000001,-0.123232323,82,158.8771605,162.7330303,31.7754321,32.54660606,4289.683333,8950.316667,-3.855869809,10.18518519,10.56363636,14.40740741,15.70909091,20,23,-0.378451178,-1.301683502,3.327272690000001,3.855869809,-0.378451178,-1.301683502,5.5030078190000005,True,5.5030078190000005,Included in tanking score
